Analysis Type:	PANTHER Enrichment Test (release 20220712)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	alert.range.index.txt (Homo sapiens)	There are duplicate IDs in the file.   For duplicates, the first id/value pair in the file will be used.
Correction:	FDR
GO molecular function complete	number	overUnder	pvalue	fdr
voltage-gated calcium channel activity involved in bundle of His cell action potential (GO:0086057)	1	-	1.43E-01	6.66E-01
protein kinase binding (GO:0019901)	604	+	1.43E-01	6.66E-01
epoxide hydrolase activity (GO:0004301)	6	-	1.43E-01	6.65E-01
5S rRNA binding (GO:0008097)	10	+	1.43E-01	6.66E-01
phosphoribosylformylglycinamidine synthase activity (GO:0004642)	1	+	1.44E-01	6.67E-01
intracellular phosphatidylinositol-3,5-bisphosphate-sensitive cation channel activity (GO:0097682)	3	+	1.44E-01	6.67E-01
NAADP-sensitive calcium-release channel activity (GO:0072345)	3	+	1.44E-01	6.66E-01
molecular function inhibitor activity (GO:0140678)	80	-	1.44E-01	6.67E-01
ethanolamine-phosphate phospho-lyase activity (GO:0050459)	1	-	1.44E-01	6.67E-01
glycosylated region protein binding (GO:0140081)	2	-	1.45E-01	6.68E-01
L-amino-acid oxidase activity (GO:0001716)	1	-	1.45E-01	6.70E-01
L-phenylalaine oxidase activity (GO:0106329)	1	-	1.45E-01	6.69E-01
oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor (GO:0016731)	2	-	1.46E-01	6.71E-01
oxidoreductase activity, acting on iron-sulfur proteins as donors (GO:0016730)	2	-	1.46E-01	6.70E-01
phosphoglycerate kinase activity (GO:0004618)	1	+	1.46E-01	6.71E-01
poly(U)-specific exoribonuclease activity, producing 3' uridine cyclic phosphate ends (GO:1990838)	1	+	1.47E-01	6.73E-01
N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity (GO:0050659)	2	-	1.47E-01	6.73E-01
deoxyribonucleotide binding (GO:0032552)	5	-	1.47E-01	6.72E-01
carbohydrate transmembrane transporter activity (GO:0015144)	29	+	1.47E-01	6.74E-01
glutamine-phenylpyruvate transaminase activity (GO:0047316)	1	+	1.47E-01	6.74E-01
ion channel inhibitor activity (GO:0008200)	29	-	1.48E-01	6.75E-01
argininosuccinate lyase activity (GO:0004056)	1	-	1.48E-01	6.76E-01
N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity (GO:0004018)	1	-	1.48E-01	6.75E-01
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity (GO:0070626)	1	-	1.48E-01	6.75E-01
monocarboxylate:sodium symporter activity (GO:0140161)	6	+	1.48E-01	6.74E-01
nuclear estrogen receptor binding (GO:0030331)	39	+	1.48E-01	6.74E-01
choline binding (GO:0033265)	1	-	1.48E-01	6.73E-01
telomerase RNA binding (GO:0070034)	21	-	1.48E-01	6.73E-01
diiodophenylpyruvate reductase activity (GO:0047860)	1	+	1.49E-01	6.74E-01
oxidoreductase activity, acting on other nitrogenous compounds as donors, cytochrome as acceptor (GO:0016662)	3	-	1.49E-01	6.74E-01
nitrite reductase (NO-forming) activity (GO:0050421)	3	-	1.49E-01	6.73E-01
melanocyte-stimulating hormone receptor activity (GO:0004980)	1	+	1.49E-01	6.74E-01
suramin binding (GO:0043924)	1	+	1.49E-01	6.74E-01
carboxy-lyase activity (GO:0016831)	31	-	1.49E-01	6.73E-01
estrogen binding (GO:0099130)	1	-	1.49E-01	6.73E-01
platelet-derived growth factor receptor activity (GO:0005017)	3	-	1.49E-01	6.73E-01
[myelin basic protein]-arginine N-methyltransferase activity (GO:0016277)	1	+	1.49E-01	6.72E-01
calcium-dependent protein kinase C activity (GO:0004698)	14	+	1.49E-01	6.72E-01
rRNA (cytosine-C5-)-methyltransferase activity (GO:0009383)	3	+	1.50E-01	6.72E-01
5-diphosphoinositol pentakisphosphate 3-kinase activity (GO:0102092)	2	+	1.50E-01	6.73E-01
diphosphoinositol-pentakisphosphate kinase activity (GO:0033857)	2	+	1.50E-01	6.72E-01
G-protein alpha-subunit binding (GO:0001965)	24	-	1.50E-01	6.73E-01
protein self-association (GO:0043621)	58	+	1.50E-01	6.72E-01
activating MHC class Ib receptor activity (GO:0062081)	1	-	1.51E-01	6.73E-01
tRNA binding (GO:0000049)	70	+	1.51E-01	6.73E-01
phosphodiesterase decapping endonuclease activity (GO:1990174)	2	+	1.51E-01	6.73E-01
RNA NAD-cap (NMN-forming) hydrolase activity (GO:0110153)	2	+	1.51E-01	6.72E-01
carbohydrate:proton symporter activity (GO:0005351)	5	+	1.51E-01	6.72E-01
polyprenol reductase activity (GO:0102389)	1	-	1.51E-01	6.72E-01
sialic acid transmembrane transporter activity (GO:0015136)	2	+	1.51E-01	6.71E-01
F-box domain binding (GO:1990444)	3	-	1.51E-01	6.71E-01
protein demethylase activity (GO:0140457)	28	+	1.51E-01	6.70E-01
histone demethylase activity (GO:0032452)	28	+	1.51E-01	6.70E-01
rRNA (uridine) methyltransferase activity (GO:0016436)	3	+	1.51E-01	6.70E-01
asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066)	1	+	1.52E-01	6.70E-01
intermediate filament binding (GO:0019215)	11	-	1.52E-01	6.71E-01
immunoglobulin binding (GO:0019865)	12	-	1.52E-01	6.70E-01
calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration (GO:0099567)	1	-	1.52E-01	6.70E-01
glycine hydroxymethyltransferase activity (GO:0004372)	2	+	1.52E-01	6.71E-01
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines (GO:0016814)	21	+	1.52E-01	6.71E-01
catalase activity (GO:0004096)	4	-	1.53E-01	6.70E-01
immune receptor activity (GO:0140375)	80	-	1.53E-01	6.71E-01
melatonin receptor activity (GO:0008502)	1	+	1.53E-01	6.71E-01
tRNAPhe (7-(3-amino-3-carboxypropyl)wyosine37-C2)-hydroxylase activity (GO:0102524)	1	-	1.53E-01	6.70E-01
metal ion binding (GO:0046872)	3439	+	1.54E-01	6.72E-01
Formylglycine-generating oxidase activity (GO:0120147)	1	-	1.54E-01	6.73E-01
2-iminopropanoate deaminase activity (GO:0120243)	1	-	1.54E-01	6.73E-01
2-iminobutanoate deaminase activity (GO:0120242)	1	-	1.54E-01	6.72E-01
2-iminobutanoate/2-iminopropanoate deaminase (GO:0120241)	1	-	1.54E-01	6.71E-01
formyltetrahydrofolate dehydrogenase activity (GO:0016155)	2	-	1.54E-01	6.71E-01
5'-3' exoribonuclease activity (GO:0004534)	4	+	1.54E-01	6.72E-01
CCR1 chemokine receptor binding (GO:0031726)	1	-	1.54E-01	6.72E-01
molecular function activator activity (GO:0140677)	51	+	1.55E-01	6.71E-01
guanyl nucleotide binding (GO:0019001)	336	-	1.55E-01	6.74E-01
guanyl ribonucleotide binding (GO:0032561)	336	-	1.55E-01	6.73E-01
malonyl-CoA decarboxylase activity (GO:0050080)	1	+	1.55E-01	6.72E-01
dimethylglycine dehydrogenase activity (GO:0047865)	1	-	1.55E-01	6.72E-01
ISG15-specific peptidase activity (GO:0019785)	2	-	1.56E-01	6.73E-01
10-hydroxy-9-(phosphonooxy)octadecanoate phosphatase activity (GO:0033885)	1	-	1.56E-01	6.74E-01
Toll-like receptor binding (GO:0035325)	10	-	1.56E-01	6.73E-01
cyanocobalamin reductase (cyanide-eliminating) activity (GO:0033787)	1	+	1.56E-01	6.73E-01
Wnt receptor activity (GO:0042813)	15	-	1.56E-01	6.73E-01
pyrimidine nucleobase binding (GO:0002061)	1	-	1.57E-01	6.76E-01
uracil binding (GO:0002058)	1	-	1.57E-01	6.75E-01
dihydropyrimidine dehydrogenase (NADP+) activity (GO:0017113)	1	-	1.57E-01	6.75E-01
thiamine triphosphate phosphatase activity (GO:0050333)	1	-	1.57E-01	6.74E-01
hydroxyapatite binding (GO:0046848)	1	-	1.57E-01	6.75E-01
glutamate-cysteine ligase catalytic subunit binding (GO:0035226)	1	+	1.58E-01	6.75E-01
ATP-dependent DNA/DNA annealing activity (GO:0036310)	4	-	1.58E-01	6.75E-01
glutaryl-CoA hydrolase activity (GO:0044466)	2	-	1.58E-01	6.76E-01
succinyl-CoA hydrolase activity (GO:0004778)	2	-	1.58E-01	6.75E-01
histone acetyltransferase activity (H4-K16 specific) (GO:0046972)	3	+	1.58E-01	6.76E-01
long-chain-acyl-CoA dehydrogenase activity (GO:0004466)	4	-	1.58E-01	6.76E-01
mRNA cap binding complex binding (GO:0140262)	3	+	1.58E-01	6.75E-01
eukaryotic initiation factor 4E binding (GO:0008190)	7	-	1.59E-01	6.76E-01
second spliceosomal transesterification activity (GO:0000386)	1	+	1.59E-01	6.75E-01
tRNA (guanine-N2-)-methyltransferase activity (GO:0004809)	5	+	1.59E-01	6.75E-01
neurotransmitter binding (GO:0042165)	12	-	1.59E-01	6.74E-01
guanidinoacetate N-methyltransferase activity (GO:0030731)	1	-	1.59E-01	6.74E-01
N-(long-chain-acyl)ethanolamine deacylase activity (GO:0047412)	1	+	1.59E-01	6.74E-01
GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)	1	+	1.59E-01	6.75E-01
GMP synthase activity (GO:0003921)	1	+	1.59E-01	6.74E-01
beta-tubulin binding (GO:0048487)	40	-	1.59E-01	6.74E-01
phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity (GO:0016314)	4	+	1.60E-01	6.77E-01
amino-acid racemase activity (GO:0047661)	1	-	1.60E-01	6.77E-01
D-serine ammonia-lyase activity (GO:0008721)	1	-	1.60E-01	6.76E-01
serine racemase activity (GO:0030378)	1	-	1.60E-01	6.76E-01
threonine racemase activity (GO:0018114)	1	-	1.60E-01	6.75E-01
racemase and epimerase activity, acting on amino acids and derivatives (GO:0016855)	1	-	1.60E-01	6.74E-01
racemase activity, acting on amino acids and derivatives (GO:0036361)	1	-	1.60E-01	6.74E-01
large conductance calcium-activated potassium channel activity (GO:0060072)	1	+	1.61E-01	6.75E-01
histone methyltransferase activity (H2A-R3 specific) (GO:0070612)	1	-	1.61E-01	6.74E-01
histone methyltransferase activity (H3-R2 specific) (GO:0070611)	1	-	1.61E-01	6.74E-01
steroid hormone binding (GO:1990239)	6	+	1.61E-01	6.74E-01
S-methyl-5-thioadenosine phosphorylase activity (GO:0017061)	2	+	1.61E-01	6.75E-01
5'-3' DNA helicase activity (GO:0043139)	8	+	1.62E-01	6.75E-01
4 iron, 4 sulfur cluster binding (GO:0051539)	39	+	1.62E-01	6.75E-01
chemokine (C-C motif) ligand 7 binding (GO:0035717)	1	-	1.62E-01	6.77E-01
nuclear mineralocorticoid receptor binding (GO:0031962)	1	-	1.62E-01	6.77E-01
siderophore transmembrane transporter activity (GO:0015343)	1	+	1.63E-01	6.78E-01
enterobactin transmembrane transporter activity (GO:0042931)	1	+	1.63E-01	6.77E-01
ISG15 activating enzyme activity (GO:0019782)	1	-	1.63E-01	6.77E-01
hydroxymethylglutaryl-CoA lyase activity (GO:0004419)	2	-	1.63E-01	6.78E-01
calcium-dependent phospholipid binding (GO:0005544)	42	-	1.63E-01	6.78E-01
glutathione binding (GO:0043295)	10	-	1.63E-01	6.77E-01
superoxide dismutase copper chaperone activity (GO:0016532)	2	+	1.64E-01	6.79E-01
Lys48-specific deubiquitinase activity (GO:1990380)	14	+	1.64E-01	6.79E-01
oxygen sensor activity (GO:0019826)	3	+	1.64E-01	6.78E-01
lipid binding (GO:0008289)	653	-	1.64E-01	6.78E-01
group III metabotropic glutamate receptor activity (GO:0001642)	2	-	1.64E-01	6.78E-01
microtubule minus-end binding (GO:0051011)	13	+	1.65E-01	6.79E-01
retromer complex binding (GO:1905394)	9	+	1.65E-01	6.78E-01
inhibitory extracellular ligand-gated ion channel activity (GO:0005237)	13	-	1.65E-01	6.78E-01
interferon receptor activity (GO:0004904)	4	+	1.65E-01	6.77E-01
cGMP-inhibited cyclic-nucleotide phosphodiesterase activity (GO:0004119)	2	-	1.65E-01	6.77E-01
3-oxo-arachidoyl-CoA synthase activity (GO:0102336)	2	+	1.65E-01	6.77E-01
type 1 metabotropic glutamate receptor binding (GO:0031798)	1	+	1.65E-01	6.78E-01
keratan sulfotransferase activity (GO:0045130)	2	-	1.66E-01	6.78E-01
general transcription initiation factor binding (GO:0140296)	52	+	1.66E-01	6.78E-01
4-nitrophenol 2-monooxygenase activity (GO:0018601)	1	+	1.66E-01	6.80E-01
long-chain fatty acid omega-1 hydroxylase activity (GO:0120319)	1	+	1.66E-01	6.79E-01
sterol transporter activity (GO:0015248)	32	+	1.67E-01	6.82E-01
protein-N-terminal glutamine amidohydrolase activity (GO:0070773)	1	+	1.67E-01	6.81E-01
amyloid-beta binding (GO:0001540)	74	-	1.67E-01	6.81E-01
hexaprenyldihydroxybenzoate methyltransferase activity (GO:0004395)	1	+	1.67E-01	6.80E-01
3-demethylubiquinone-9 3-O-methyltransferase activity (GO:0008689)	1	+	1.67E-01	6.80E-01
3-demethylubiquinol-n 3-O-methyltransferase activity (GO:0061542)	1	+	1.67E-01	6.79E-01
3-demethylubiquinol-10 3-O-methyltransferase activity (GO:0044596)	1	+	1.67E-01	6.79E-01
decaprenyldihydroxybenzoate methyltransferase activity (GO:0044595)	1	+	1.67E-01	6.78E-01
3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity (GO:0010420)	1	+	1.67E-01	6.77E-01
mitochondrial proton-transporting ATP synthase complex binding (GO:0140260)	2	-	1.67E-01	6.78E-01
enoyl-CoA hydratase activity (GO:0004300)	9	-	1.67E-01	6.77E-01
lipoprotein particle receptor binding (GO:0070325)	23	-	1.67E-01	6.77E-01
arginase activity (GO:0004053)	1	+	1.67E-01	6.76E-01
retinol binding (GO:0019841)	11	-	1.67E-01	6.76E-01
clathrin adaptor activity (GO:0035615)	17	-	1.67E-01	6.75E-01
chondroitin sulfotransferase activity (GO:0034481)	6	-	1.67E-01	6.75E-01
protein ADP-ribosyltransferase-substrate adaptor activity (GO:0140768)	2	+	1.68E-01	6.75E-01
peptidase activity (GO:0008233)	427	+	1.68E-01	6.75E-01
superoxide dismutase activity (GO:0004784)	4	-	1.68E-01	6.75E-01
oxidoreductase activity, acting on superoxide radicals as acceptor (GO:0016721)	4	-	1.68E-01	6.74E-01
voltage-gated chloride channel activity (GO:0005247)	9	+	1.68E-01	6.74E-01
L-histidine transmembrane transporter activity (GO:0005290)	5	+	1.68E-01	6.75E-01
pyruvate carboxylase activity (GO:0004736)	1	+	1.68E-01	6.75E-01
sarcosine dehydrogenase activity (GO:0008480)	1	-	1.69E-01	6.75E-01
histone acetyltransferase binding (GO:0035035)	20	+	1.69E-01	6.75E-01
phosphatidylinositol N-acetylglucosaminyltransferase activity (GO:0017176)	2	-	1.69E-01	6.74E-01
anion transmembrane transporter activity (GO:0008509)	227	+	1.69E-01	6.75E-01
P-type potassium:proton transporter activity (GO:0008900)	1	+	1.69E-01	6.74E-01
P-type proton-exporting transporter activity (GO:0008553)	1	+	1.69E-01	6.74E-01
histone tyrosine kinase activity (GO:0035400)	2	+	1.69E-01	6.73E-01
complement component C4b binding (GO:0001855)	1	+	1.69E-01	6.73E-01
histone kinase activity (H2A-T120 specific) (GO:1990244)	1	+	1.70E-01	6.75E-01
methylmalonate-semialdehyde dehydrogenase (acylating) activity (GO:0004491)	1	-	1.70E-01	6.75E-01
malonate-semialdehyde dehydrogenase (acetylating) activity (GO:0018478)	1	-	1.70E-01	6.74E-01
malonate-semialdehyde dehydrogenase (acetylating, NAD+) activity (GO:0102662)	1	-	1.70E-01	6.74E-01
taste receptor activity (GO:0008527)	14	+	1.70E-01	6.74E-01
PH domain binding (GO:0042731)	7	+	1.70E-01	6.74E-01
2-hydroxyglutarate dehydrogenase activity (GO:0047545)	1	+	1.70E-01	6.74E-01
(S)-2-hydroxy-acid oxidase activity (GO:0003973)	1	+	1.70E-01	6.73E-01
nuclear receptor activity (GO:0004879)	41	+	1.71E-01	6.75E-01
ligand-activated transcription factor activity (GO:0098531)	41	+	1.71E-01	6.75E-01
cholestenol delta-isomerase activity (GO:0047750)	2	-	1.71E-01	6.74E-01
L-tyrosine transmembrane transporter activity (GO:0005302)	1	-	1.71E-01	6.74E-01
peptidoglycan glycosyltransferase activity (GO:0008955)	1	-	1.71E-01	6.75E-01
FFAT motif binding (GO:0033149)	3	+	1.72E-01	6.75E-01
lysophospholipid:sodium symporter activity (GO:0051978)	1	+	1.72E-01	6.74E-01
lysophosphatidylcholine flippase activity (GO:0140348)	1	+	1.72E-01	6.73E-01
zinc ion binding (GO:0008270)	648	+	1.72E-01	6.75E-01
ceramide glucosyltransferase activity (GO:0008120)	1	+	1.72E-01	6.75E-01
dihydroceramide glucosyltransferase activity (GO:0102769)	1	+	1.72E-01	6.74E-01
carbon-nitrogen lyase activity (GO:0016840)	12	-	1.72E-01	6.75E-01
peptide 2-hydroxyisobutyryltransferase activity (GO:0106226)	2	+	1.73E-01	6.74E-01
peptide butyryltransferase activity (GO:0140065)	2	+	1.73E-01	6.74E-01
peptide crotonyltransferase activity (GO:0140064)	2	+	1.73E-01	6.73E-01
AF-2 domain binding (GO:0050682)	4	+	1.73E-01	6.73E-01
histone reader activity (GO:0140566)	5	+	1.73E-01	6.73E-01
L-isoleucine transaminase activity (GO:0052656)	2	+	1.73E-01	6.74E-01
L-valine transaminase activity (GO:0052655)	2	+	1.73E-01	6.73E-01
L-leucine transaminase activity (GO:0052654)	2	+	1.73E-01	6.73E-01
L-leucine:2-oxoglutarate aminotransferase activity (GO:0050048)	2	+	1.73E-01	6.72E-01
branched-chain-amino-acid transaminase activity (GO:0004084)	2	+	1.73E-01	6.72E-01
amidine-lyase activity (GO:0016842)	7	-	1.73E-01	6.71E-01
RNA polymerase III general transcription initiation factor binding (GO:0001025)	4	+	1.73E-01	6.71E-01
GABA-A receptor activity (GO:0004890)	13	-	1.74E-01	6.72E-01
lamin binding (GO:0005521)	17	+	1.74E-01	6.72E-01
neuromedin K receptor binding (GO:0031836)	2	-	1.74E-01	6.72E-01
phosphopantothenate--cysteine ligase activity (GO:0004632)	1	-	1.74E-01	6.72E-01
semaphorin receptor activity (GO:0017154)	13	-	1.74E-01	6.71E-01
protoheme IX farnesyltransferase activity (GO:0008495)	1	+	1.74E-01	6.71E-01
8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity (GO:0035539)	2	+	1.74E-01	6.71E-01
8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity (GO:0008413)	2	+	1.74E-01	6.70E-01
7SK snRNA binding (GO:0097322)	9	+	1.74E-01	6.70E-01
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen (GO:0016716)	5	-	1.74E-01	6.69E-01
interleukin-4 receptor binding (GO:0005136)	1	+	1.75E-01	6.70E-01
glutathione oxidoreductase activity (GO:0097573)	7	+	1.75E-01	6.70E-01
dynein heavy chain binding (GO:0045504)	11	-	1.75E-01	6.69E-01
magnesium ion binding (GO:0000287)	192	+	1.75E-01	6.70E-01
molybdopterin cofactor binding (GO:0043546)	4	-	1.75E-01	6.70E-01
5'-3' RNA helicase activity (GO:0032574)	2	-	1.76E-01	6.71E-01
galactosyltransferase activity (GO:0008378)	27	-	1.76E-01	6.73E-01
phosphorylase kinase activity (GO:0004689)	3	+	1.76E-01	6.73E-01
diphosphomevalonate decarboxylase activity (GO:0004163)	1	-	1.77E-01	6.73E-01
long-chain-3-hydroxyacyl-CoA dehydrogenase activity (GO:0016509)	2	-	1.77E-01	6.73E-01
tapasin binding (GO:0046980)	1	+	1.77E-01	6.73E-01
succinate-CoA ligase (ADP-forming) activity (GO:0004775)	2	+	1.77E-01	6.75E-01
phosphoglycerate dehydrogenase activity (GO:0004617)	1	-	1.78E-01	6.74E-01
acetylation-dependent protein binding (GO:0140033)	22	+	1.78E-01	6.75E-01
lysine-acetylated histone binding (GO:0070577)	22	+	1.78E-01	6.75E-01
linoleic acid binding (GO:0070539)	1	+	1.78E-01	6.74E-01
UFM1 conjugating enzyme activity (GO:0061657)	1	-	1.78E-01	6.75E-01
AP-1 adaptor complex binding (GO:0035650)	4	-	1.79E-01	6.75E-01
tRNA (guanine) methyltransferase activity (GO:0016423)	14	+	1.79E-01	6.75E-01
3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity (GO:0019171)	1	-	1.79E-01	6.75E-01
phosphopantetheine binding (GO:0031177)	1	-	1.79E-01	6.75E-01
3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity (GO:0047451)	1	-	1.79E-01	6.74E-01
oleoyl-[acyl-carrier-protein] hydrolase activity (GO:0004320)	1	-	1.79E-01	6.74E-01
3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity (GO:0004317)	1	-	1.79E-01	6.73E-01
[acyl-carrier-protein] S-acetyltransferase activity (GO:0004313)	1	-	1.79E-01	6.73E-01
acyl-[acyl-carrier-protein] hydrolase activity (GO:0016297)	1	-	1.79E-01	6.72E-01
palmitoyl-[acyl-carrier-protein] hydrolase activity (GO:0016296)	1	-	1.79E-01	6.72E-01
myristoyl-[acyl-carrier-protein] hydrolase activity (GO:0016295)	1	-	1.79E-01	6.71E-01
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity (GO:0008693)	1	-	1.79E-01	6.70E-01
(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity (GO:0008659)	1	-	1.79E-01	6.70E-01
enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity (GO:0047117)	1	-	1.79E-01	6.69E-01
solute:proton symporter activity (GO:0015295)	21	+	1.79E-01	6.69E-01
diphthine-ammonia ligase activity (GO:0017178)	1	-	1.79E-01	6.69E-01
cholesterol 24-hydroxylase activity (GO:0033781)	1	-	1.79E-01	6.70E-01
1-phosphatidylinositol-3-phosphate 5-kinase activity (GO:0000285)	3	+	1.79E-01	6.69E-01
1-phosphatidylinositol-5-kinase activity (GO:0052810)	3	+	1.79E-01	6.69E-01
orexigenic neuropeptide QRFP receptor binding (GO:0031854)	1	+	1.80E-01	6.69E-01
inositol-1,4,5-trisphosphate 5-phosphatase activity (GO:0052658)	7	+	1.80E-01	6.69E-01
protein kinase C activity (GO:0004697)	15	+	1.80E-01	6.68E-01
phosphate:proton symporter activity (GO:0015317)	1	+	1.80E-01	6.68E-01
all-trans-retinol binding (GO:1904768)	2	-	1.80E-01	6.67E-01
CTP binding (GO:0002135)	2	-	1.80E-01	6.67E-01
dATP binding (GO:0032564)	2	-	1.80E-01	6.67E-01
nerve growth factor binding (GO:0048406)	4	+	1.80E-01	6.67E-01
G protein-coupled UDP receptor activity (GO:0045029)	2	-	1.80E-01	6.67E-01
aspartate:glutamate, proton antiporter activity (GO:0000515)	2	+	1.81E-01	6.68E-01
3-sulfino-L-alanine: proton, glutamate antiporter activity (GO:0000514)	2	+	1.81E-01	6.67E-01
pre-mRNA 5'-splice site binding (GO:0030627)	1	-	1.81E-01	6.68E-01
UTP diphosphatase activity (GO:0036221)	2	-	1.81E-01	6.68E-01
RNA polymerase II C-terminal domain phosphoserine binding (GO:1990269)	5	+	1.81E-01	6.68E-01
parathyroid hormone receptor activity (GO:0004991)	1	+	1.81E-01	6.67E-01
H4 histone acetyltransferase activity (GO:0010485)	12	+	1.81E-01	6.67E-01
oxysterol 7-alpha-hydroxylase activity (GO:0008396)	1	-	1.82E-01	6.68E-01
27-hydroxycholesterol 7-alpha-monooxygenase activity (GO:0047092)	1	-	1.82E-01	6.68E-01
25-hydroxycholesterol 7alpha-hydroxylase activity (GO:0033783)	1	-	1.82E-01	6.67E-01
24-hydroxycholesterol 7alpha-hydroxylase activity (GO:0033782)	1	-	1.82E-01	6.67E-01
alpha-1,2-mannosyltransferase activity (GO:0000026)	4	-	1.82E-01	6.66E-01
glycerophospholipid flippase activity (GO:0140333)	12	+	1.82E-01	6.67E-01
tetracycline transmembrane transporter activity (GO:0008493)	1	-	1.82E-01	6.68E-01
dinucleotide insertion or deletion binding (GO:0032139)	3	+	1.83E-01	6.68E-01
corticotropin-releasing hormone binding (GO:0051424)	1	-	1.83E-01	6.68E-01
exon-exon junction complex binding (GO:1990448)	1	-	1.83E-01	6.69E-01
aspartic endopeptidase activity, intramembrane cleaving (GO:0042500)	8	-	1.83E-01	6.69E-01
eukaryotic translation initiation factor 2alpha kinase activity (GO:0004694)	4	+	1.83E-01	6.69E-01
peptidyl-lysine 4-dioxygenase activity (GO:0106156)	1	-	1.84E-01	6.69E-01
wide pore channel activity (GO:0022829)	21	+	1.84E-01	6.69E-01
bisphosphoglycerate phosphatase activity (GO:0034416)	2	+	1.84E-01	6.69E-01
pyruvate dehydrogenase (NAD+) activity (GO:0034604)	5	+	1.84E-01	6.69E-01
pyruvate dehydrogenase [NAD(P)+] activity (GO:0034603)	5	+	1.84E-01	6.68E-01
pyruvate dehydrogenase activity (GO:0004738)	5	+	1.84E-01	6.68E-01
tRNA (adenine) methyltransferase activity (GO:0016426)	4	+	1.84E-01	6.69E-01
cyclin-dependent protein kinase activating kinase activity (GO:0019912)	1	-	1.84E-01	6.68E-01
acetylgalactosaminyltransferase activity (GO:0008376)	28	-	1.84E-01	6.68E-01
protein-cysteine S-myristoyltransferase activity (GO:0019705)	6	+	1.85E-01	6.68E-01
phenanthrene-9,10-epoxide hydrolase activity (GO:0019119)	1	-	1.85E-01	6.69E-01
phenanthrene-epoxide hydrolase activity (GO:0019118)	1	-	1.85E-01	6.69E-01
ethanol binding (GO:0035276)	1	+	1.85E-01	6.68E-01
proline:proton symporter activity (GO:0005297)	1	+	1.85E-01	6.68E-01
L-DOPA receptor activity (GO:0035643)	1	-	1.85E-01	6.68E-01
L-DOPA binding (GO:0072544)	1	-	1.85E-01	6.67E-01
G protein-coupled receptor activity (GO:0004930)	330	-	1.85E-01	6.68E-01
polyribonucleotide 5'-hydroxyl-kinase activity (GO:0051736)	1	+	1.86E-01	6.69E-01
polyribonucleotide kinase activity (GO:0051732)	1	+	1.86E-01	6.68E-01
MAP kinase kinase kinase kinase activity (GO:0008349)	4	-	1.86E-01	6.68E-01
type B gastrin/cholecystokinin receptor binding (GO:0031741)	1	-	1.86E-01	6.68E-01
cholecystokinin receptor binding (GO:0031739)	1	-	1.86E-01	6.67E-01
cholecystokinin receptor activity (GO:0004951)	1	-	1.86E-01	6.67E-01
gastrin receptor activity (GO:0015054)	1	-	1.86E-01	6.66E-01
coreceptor activity involved in Wnt signaling pathway (GO:0071936)	7	-	1.86E-01	6.66E-01
thiamine pyrophosphate transmembrane transporter activity (GO:0090422)	1	+	1.86E-01	6.66E-01
deoxynucleotide transmembrane transporter activity (GO:0030233)	1	+	1.86E-01	6.65E-01
neurotrophin TRKC receptor binding (GO:0005170)	1	+	1.87E-01	6.66E-01
neurotrophin TRKB receptor binding (GO:0005169)	1	+	1.87E-01	6.65E-01
L-serine-phosphatidylcholine phosphatidyltransferase activity (GO:0106258)	1	-	1.87E-01	6.65E-01
poly(A) binding (GO:0008143)	23	+	1.87E-01	6.66E-01
formate-tetrahydrofolate ligase activity (GO:0004329)	2	-	1.87E-01	6.65E-01
retinal dehydrogenase activity (GO:0001758)	6	+	1.87E-01	6.65E-01
protein-containing complex destabilizing activity (GO:0140776)	11	+	1.87E-01	6.65E-01
inositol diphosphate pentakisphosphate diphosphatase activity (GO:0052842)	1	-	1.87E-01	6.64E-01
fatty acid in-chain hydroxylase activity (GO:0052722)	1	-	1.87E-01	6.64E-01
phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)	1	+	1.87E-01	6.64E-01
dTTP diphosphatase activity (GO:0036218)	1	-	1.87E-01	6.64E-01
oxytocin receptor activity (GO:0004990)	1	-	1.88E-01	6.64E-01
