gene	p.alert	p.control	p.orient
CLCA4	0.732989	0.740243	0.453441
CLCC1	0.032374	0.080459	0.00762
CLCN1	0.088087	0.136143	0.015513
CLCN2	0.047554	0.949559	0.05051
CLCN3	0.898076	0.663514	0.923248
CLCN4	8.3e-05	0.000138	2.8e-05
CLCN5	0.437838	0.349974	0.36013
CLCN6	0.659974	0.124421	0.004707
CLCN7	0.648493	0.633864	0.364375
CLCNKA	0.533624	0.536008	0.97847
CLDN10	0.000237	0.153237	7.4e-05
CLDN11	0.481916	0.946407	0.750972
CLDN12	0.61143	0.790101	0.494702
CLDN14	0.547412	0.239306	0.187992
CLDN15	0.782817	0.391206	0.714046
CLDN19	0.522644	0.426073	0.318984
CLDN3	0.486014	0.197434	0.014836
CLDN4	0.033684	0.007156	0.001297
CLDN5	0.334969	0.17621	0.953713
CLDN9	0.026372	0.038606	0.004878
CLDND1	0.401671	0.822752	0.773765
CLDND2	0.260939	0.04887	0.001368
CLEC11A	0.048581	0.715262	0.618282
CLEC12A	0.074305	0.850502	0.617865
CLEC14A	0.636448	0.253519	0.051766
CLEC16A	3.8e-05	0.00036	2.3e-05
CLEC18B	5.2e-05	2.3e-05	1.7e-05
CLEC2B	0.45484	0.712469	0.629326
CLEC2D	0.006433	0.19057	0.003114
CLEC2L	0.000189	0.001894	0.001233
CLEC3B	0.865182	0.106975	0.170983
CLEC4A	0.203417	0.054516	0.011987
CLEC4G	0.366706	0.682168	0.050257
CLEC4M	0.000273	0.007632	4.7e-05
CLEC9A	0.044381	0.003122	0.003349
CLGN	0.000829	0.003803	3.8e-05
CLHC1	0.400643	0.856798	0.188023
CLIC1	0.869562	0.34712	0.381569
CLIC2	0.490915	0.308724	0.590207
CLIC3	0.252531	0.02523	0.098479
CLIC4	0.570976	0.488062	0.183346
CLIC5	0.001655	0.004685	0.000121
CLIC6	0.758023	0.300443	0.739744
CLINT1	0.042997	0.190204	0.024758
CLIP1	0.936518	0.10764	0.642497
CLIP2	0.000637	0.224529	0.00336
CLIP3	0.180445	0.112439	0.0369
CLIP4	0.219207	0.15943	0.10316
CLK1	0.013857	0.3129	0.032397
CLK2	0.50232	0.099609	0.045185
CLK2P1	0.829939	0.707528	0.178873
CLK3	0.000359	0.046733	5.2e-05
CLK4	0.727506	0.284345	0.021095
CLMN	0.139823	0.040821	0.003784
CLMP	0.0045	0.05614	0.002597
CLN3	0.93441	0.018591	0.707219
CLN5	0.371444	0.064383	0.182625
CLN6	4.4e-05	0.001247	2.1e-05
CLN8	0.907184	0.588602	0.808519
CLNS1A	0.229428	0.014398	0.001346
CLOCK	0.015492	0.019137	0.000138
CLP1	0.011126	0.173583	0.007422
CLPB	0.00305	0.006465	3.3e-05
CLPP	0.508906	0.30883	0.009627
CLPS	0.297512	0.172708	0.002365
CLPSL1	0.168143	0.713343	0.812932
CLPTM1	0.262596	0.271566	0.310436
CLPTM1L	0.843409	0.407428	0.762957
CLPX	0.000302	0.016653	7.7e-05
CLSTN1	0.153099	0.479876	0.902233
CLSTN2	0.847339	0.774952	0.457761
CLSTN3	0.951744	0.906158	0.698416
CLTA	0.118656	0.73055	0.562451
CLTB	0.441575	0.944878	0.846126
CLTC	0.917182	0.286535	0.367267
CLTCL1	7.4e-05	6.9e-05	2.6e-05
CLU	0.055449	0.2071	0.000521
CLUAP1	0.281537	0.013458	0.067165
CLUH	0.816834	0.663808	0.97476
CLUHP3	0.170898	0.588277	0.04588
CLUL1	0.367634	0.0715	0.100227
CLVS1	0.171896	0.883577	0.006663
CLVS2	0.08031	0.388455	0.005194
CLYBL	0.222471	0.669382	0.239879
CMAHP	0.481365	0.075438	0.373805
CMAS	0.196746	0.41257	0.002529
CMBL	0.783742	0.076278	0.913181
CMC1	0.517344	0.833242	0.354919
CMC2	0.197105	0.4955	0.646061
CMC4	0.483511	0.539485	0.663485
CMIP	0.024598	0.020029	0.001132
CMKLR1	0.2003	0.248704	0.221565
CMPK1	0.03683	0.131952	0.004303
CMPK2	0.091584	0.525262	0.008289
CMSS1	0.001074	0.003074	2.2e-05
CMTM3	0.004816	0.006551	3.9e-05
CMTM4	0.016057	0.000262	2.5e-05
CMTM5	0.281307	0.520795	0.820292
CMTM6	0.052108	0.013243	0.001907
CMTM7	0.00013	0.000158	2.4e-05
CMTM8	5.3e-05	5.2e-05	2.1e-05
CMTR1	0.875405	0.588316	0.268114
CMTR2	0.427679	0.849994	0.98017
CMYA5	0.002058	0.020409	0.000708
CNBP	0.713521	0.995207	0.732356
CNDP1	0.006896	0.01471	0.000378
CNDP2	0.646002	0.556487	0.494554
CNEP1R1	0.000425	0.001708	5.3e-05
CNFN	0.066197	0.89709	0.058039
CNGB1	0.000103	0.000123	2.1e-05
CNIH1	0.000505	0.002008	0.000127
CNIH2	0.007273	0.106267	5.2e-05
CNIH3	0.021779	0.000723	3.4e-05
CNIH4	0.791853	0.969257	0.448974
CNKSR2	0.198667	0.629548	0.008515
CNKSR3	0.331921	0.227833	0.512228
CNMD	0.000198	0.000165	2.7e-05
CNN1	0.894038	0.861924	0.282315
CNN2	0.171388	0.898858	0.943918
CNN3	0.000184	0.07433	4e-05
CNNM1	0.00028	0.02259	5.5e-05
CNNM2	0.21463	0.868928	0.273172
CNNM3	0.343329	0.23312	0.050834
CNNM4	0.042747	0.731684	0.404868
CNOT1	0.507079	0.667757	0.159753
CNOT10	0.179549	0.814184	0.70015
CNOT11	0.183575	0.889209	0.375321
CNOT2	0.473548	0.027959	0.176573
CNOT3	0.627514	0.827633	0.392754
CNOT4	0.552438	0.524389	0.427137
CNOT6	0.998413	0.491134	0.676669
CNOT6L	0.000747	0.002556	4.7e-05
CNOT7	0.893339	0.69416	0.511302
CNOT8	0.041291	0.001082	0.000606
CNOT9	0.306724	0.406214	0.336751
CNP	0.265453	0.432588	0.32427
CNPPD1	0.523214	0.422262	0.26601
CNPY1	0.683478	0.167794	0.116884
CNPY2	0.002069	0.025014	6.2e-05
CNPY3	0.110725	0.37718	0.047861
CNPY4	0.628998	0.565902	0.532214
CNR1	4.6e-05	6e-05	1e-05
CNR2	0.931006	0.711133	0.737195
CNRIP1	0.000411	0.002618	2.1e-05
CNST	0.000231	0.00389	2.3e-05
CNTFR	0.844518	0.210597	0.198482
CNTLN	0.23126	0.45485	0.048517
CNTN1	0.000368	0.006314	3.3e-05
CNTN2	0.213463	0.490059	0.31046
CNTN3	1.9e-05	2.6e-05	1.4e-05
CNTN4	0.483868	0.389275	0.700578
CNTN5	0.860248	0.951144	0.256191
CNTN6	0.1603	0.098658	0.000143
CNTNAP1	0.012752	0.096842	0.003235
CNTNAP2	0.742344	0.697375	0.588468
CNTNAP3	0.000955	0.016449	3.7e-05
CNTNAP3B	0.090499	0.338404	0.022014
CNTNAP4	0.028567	0.369904	0.024072
CNTNAP5	0.11329	0.949553	0.003273
CNTRL	0.171697	0.110109	0.011047
CNTROB	0.909421	0.15236	0.388046
COA1	0.167022	0.044239	0.247881
COA3	0.053724	0.141627	0.001263
COA4	0.041304	0.471861	0.041775
COA5	0.58517	0.687581	0.127821
COA6	0.258451	0.250633	0.00775
COA7	0.623004	0.399388	0.151208
COASY	0.018558	0.176408	0.070843
COBL	0.327654	0.253664	0.422287
COBLL1	0.04801	0.14527	0.004781
COCH	0.000157	0.001129	1.3e-05
COG1	0.034289	0.025067	0.000172
COG2	0.002533	0.000192	1.8e-05
COG3	0.307828	0.337122	0.770114
COG4	0.381711	0.88598	0.580125
COG5	0.000733	0.003021	2.8e-05
COG6	0.00048	0.007523	5.6e-05
COG7	0.293884	0.871161	0.178453
COG8	0.858613	0.786465	0.451688
COIL	0.118303	0.019667	0.000671
COL10A1	0.083741	0.017143	0.055953
COL11A1	0.197642	0.615122	0.003338
COL11A2	0.461474	0.207339	0.823197
COL12A1	0.121417	0.127318	0.087615
COL13A1	0.171444	0.726721	0.001236
COL16A1	0.018251	0.008043	4.8e-05
COL18A1	0.367385	0.160145	0.006708
COL19A1	0.034031	0.030937	0.001671
COL1A2	0.571554	0.381711	0.107132
COL21A1	5.2e-05	0.000333	1.3e-05
COL22A1	0.13801	0.735941	0.310339
COL23A1	0.001781	0.003897	4.9e-05
COL24A1	0.415924	0.994429	0.602474
COL25A1	0.592511	0.028445	0.001262
COL26A1	0.584973	0.735085	0.349897
COL27A1	8.9e-05	0.001258	2.5e-05
COL4A1	0.01621	0.000541	5.4e-05
COL4A2	0.005911	4.9e-05	2.5e-05
COL4A3BP	0.103982	0.312102	0.959678
COL4A4	0.008982	0.373005	0.089869
COL4A5	0.850016	0.922465	0.734937
COL5A1	0.038011	0.088544	5.4e-05
COL5A2	0.048471	0.17307	0.560191
COL5A3	0.033095	0.206226	0.000166
COL6A1	6.8e-05	0.00773	2.4e-05
COL6A2	0.913831	0.821492	0.330015
COL6A3	0.910506	0.515723	0.723164
COL6A6	0.09342	0.739629	0.401649
COL7A1	0.000314	0.078635	3.9e-05
COL8A1	0.789513	0.388183	0.746191
COL8A2	0.343546	0.377318	0.276964
COL9A1	0.071536	0.111068	0.010757
COL9A2	0.727894	0.482689	0.761099
COL9A3	0.022849	0.042064	0.003056
COLCA1	0.040629	0.006694	7.8e-05
COLCA2	0.62636	0.21688	0.140551
COLEC11	0.424931	0.029022	0.006877
COLEC12	0.215998	0.373538	0.003075
COLGALT1	0.753345	0.858646	0.952666
COLGALT2	0.299594	0.277966	0.512812
COLQ	0.116114	0.08474	0.085198
COMMD1	0.853911	0.395891	0.209489
COMMD10	0.245402	0.07932	0.315137
COMMD2	0.843181	0.293079	0.565603
COMMD3	0.796776	0.399316	0.921329
COMMD4	0.275451	0.676305	0.511536
COMMD5	0.781962	0.250695	0.056869
COMMD6	0.203511	0.138614	0.002704
COMMD7	0.078481	0.32941	0.020161
COMMD8	0.208755	0.758753	0.297083
COMMD9	0.46922	0.954944	0.053314
COMP	0.021145	0.22766	0.000696
COMT	0.004959	0.001654	2.4e-05
COMTD1	0.000125	6.5e-05	2.4e-05
COP1	0.118462	0.089763	0.031811
COPA	0.208499	0.343681	0.185055
COPB1	0.486897	0.566502	0.506088
COPB2	0.127973	0.542264	0.157497
COPE	0.110491	0.001161	0.000199
COPG1	0.000648	0.039955	0.000814
COPG2	0.433437	0.047852	0.073133
COPRS	0.140166	0.059635	0.000631
COPS2	0.927533	0.713986	0.841438
COPS3	0.007114	0.197137	0.009679
COPS4	0.002984	0.052684	3.2e-05
COPS5	0.016653	0.021516	0.038564
COPS6	0.033405	0.00102	7.9e-05
COPS7A	0.509752	0.402172	0.443857
COPS7B	0.024881	0.108331	0.030296
COPS8	0.003158	0.30017	0.012618
COPS9	0.838453	0.672953	0.076778
COPZ1	0.000193	3.4e-05	2.2e-05
COPZ2	0.783835	0.818558	0.713166
COQ10A	0.030588	0.007431	0.000609
COQ10B	0.032125	0.780349	0.385123
COQ2	0.20181	0.543865	0.069777
COQ3	0.006702	0.003615	5.1e-05
COQ4	0.957247	0.891042	0.589009
COQ5	0.738591	0.936183	0.555086
COQ6	0.359905	0.736451	0.299929
COQ7	0.678595	0.637119	0.532065
COQ8A	0.790383	0.256966	0.642504
COQ8B	0.255058	0.80518	0.025103
COQ9	0.132994	0.290027	0.573909
CORO1A	0.001483	0.039715	8.9e-05
CORO1B	0.420478	0.874146	0.696088
CORO1C	0.26669	0.778404	0.755706
CORO2A	3.7e-05	0.001433	3.3e-05
CORO2B	0.119132	0.216015	0.154478
CORO6	0.00306	0.089505	4.6e-05
CORO7	1.7e-05	0.000347	1.1e-05
CORT	0.998629	0.792553	0.020049
COTL1	0.991945	0.86894	0.574986
COX10	0.009556	0.273173	0.039189
COX11	0.739779	0.220691	0.514345
COX14	0.235214	0.444169	0.747618
COX15	0.313659	0.094534	0.131383
COX17	0.004323	0.187875	0.055695
COX18	0.302325	0.996403	0.803552
COX19	0.61679	0.556214	0.323005
COX20	0.461189	0.075509	0.220098
COX4I1	0.103724	0.666719	0.563887
COX4I2	0.011089	0.487011	0.651549
COX5A	0.001856	0.109557	0.01002
COX5B	0.038236	0.472915	0.577554
COX6A1	0.806968	0.770824	0.126708
COX6A2	0.013943	0.004978	0.000346
COX6B1	0.882071	0.230273	0.016089
COX6B2	0.424685	0.794661	0.486941
COX6C	0.896679	0.60245	0.067218
COX7A1	3.3e-05	8.5e-05	1.8e-05
COX7A2	0.5387	0.540097	0.257855
COX7A2L	0.715269	0.201964	0.24985
COX7B	0.180886	0.723307	0.891082
COX7C	0.802242	0.294413	0.038487
COX8A	0.604168	0.665083	0.761296
COX8C	0.144897	0.030068	0.004189
CPAMD8	3.3e-05	0.000113	2e-05
CPD	0.304443	0.357705	0.132887
CPE	0.000152	0.024352	1.8e-05
CPEB1	0.256822	0.523615	0.508717
CPEB2	0.270888	0.620884	0.256768
CPEB3	0.000553	0.000396	2.9e-05
CPEB4	0.158598	0.016365	0.002039
CPLX1	2.2e-05	5.3e-05	1.4e-05
CPLX2	0.000148	0.00088	1.6e-05
CPLX3	4.3e-05	9e-05	1.3e-05
CPM	0.68558	0.742743	0.694192
CPN2	0.904762	0.810431	0.379663
CPNE1	0.713379	0.921083	0.831092
CPNE2	0.000379	0.000108	2e-05
CPNE3	0.002606	0.029453	0.004541
CPNE4	0.066609	0.46255	0.430368
CPNE5	0.001271	0.016834	8.4e-05
CPNE6	3.7e-05	4e-05	1.7e-05
CPNE7	0.000203	0.000628	2.1e-05
CPNE8	0.561526	0.995173	0.484607
CPNE9	0.008661	0.011707	2.1e-05
CPOX	0.356814	0.711803	0.71443
CPPED1	0.01761	0.010107	0.007369
CPQ	0.325947	0.655055	0.177832
CPSF1	0.010622	0.001443	2.3e-05
CPSF2	0.54248	0.674486	0.512246
CPSF3	0.017891	0.139897	0.052448
CPSF4	0.056255	0.152227	0.016989
CPSF6	0.010905	0.166475	0.001703
CPSF7	0.452115	0.659591	0.808486
CPT1A	0.577518	0.300516	0.304719
CPT1C	0.000105	0.00019	2.7e-05
CPT2	0.092976	0.143712	0.661287
CPTP	0.593031	0.757772	0.694231
CPVL	0.29324	0.040804	0.004198
CPXM2	0.254298	0.626756	0.80682
CPZ	0.792184	0.296386	0.29786
CR2	0.955634	0.405403	0.646385
CRABP1	0.003667	0.004704	0.000277
CRABP2	0.860473	0.295014	0.703642
CRACR2B	0.258269	0.141513	0.037683
CRADD	0.080022	0.010924	0.000429
CRAMP1	0.48358	0.76574	0.113039
CRAT	0.18618	0.160929	0.003008
CRB1	0.004209	0.261254	0.00128
CRB2	0.030448	0.094857	0.002363
CRB3	0.301488	0.430734	0.259059
CRBN	0.016695	0.561793	0.439137
CRCP	0.917676	0.508071	0.307511
CRCT1	0.300218	0.817925	0.190492
CREB1	0.542355	0.570281	0.462067
CREB3	0.004435	0.248457	0.000803
CREB3L1	0.428542	0.90958	0.518412
CREB3L2	0.85067	0.888425	0.695562
CREB3L3	0.330991	0.644759	0.16694
CREB3L4	0.45073	0.906764	0.261621
CREB5	0.735366	0.802193	0.877886
CREBBP	0.292141	0.929245	0.300398
CREBL2	0.672862	0.677716	0.314426
CREBRF	0.002716	0.003554	5.1e-05
CREBZF	0.001802	0.009468	5.3e-05
CREG1	0.022741	0.72725	0.194258
CREG2	0.356061	0.919519	0.195303
CRELD1	0.222686	0.950718	0.202143
CRELD2	0.03597	0.009287	0.000131
CREM	0.000355	0.005789	2.6e-05
CRH	0.700028	0.118219	0.913958
CRHBP	0.006643	0.017965	3e-05
CRIM1	0.012928	0.123195	0.000606
CRIP1	0.131445	0.203613	0.012696
CRIP2	0.001399	0.045919	3.6e-05
CRIP3	0.995011	0.967098	0.068702
CRIPAK	0.875102	0.383745	0.559103
CRIPT	0.013582	0.118398	0.003398
CRISPLD1	0.145476	0.360265	0.080273
CRK	0.472485	0.330462	0.225624
CRKL	0.939837	0.268529	0.541924
CRLF1	0.287167	0.239927	0.001366
CRLF2	0.533339	0.613704	0.365763
CRLF3	0.016384	0.068708	0.016702
CRLS1	0.640835	0.667659	0.563352
CRMP1	0.002264	0.0335	0.000436
CRNDE	0.009864	0.019812	6.5e-05
CRNKL1	0.022573	0.318886	0.026722
CROCC	0.653827	0.356025	0.52703
CROCCP2	0.018339	0.120902	0.000332
CROCCP3	0.202696	0.251568	0.001431
CROT	0.379471	0.00264	0.000402
CRSP8P	0.001269	0.001873	4.4e-05
CRTAC1	0.002017	0.042716	0.035563
CRTAP	0.771394	0.819221	0.082917
CRTC1	0.884606	0.164273	0.347369
CRTC2	0.483912	0.368956	0.521277
CRTC3	0.335972	0.259264	0.012834
CRY1	0.47068	0.139096	0.041818
CRY2	0.016978	0.456873	0.292941
CRYAB	0.345959	0.829513	0.727653
CRYBA2	0.026103	0.020523	0.318424
CRYBB1	0.384794	0.652809	0.275706
CRYBB2	0.62568	0.046183	0.013658
CRYBB2P1	0.152515	0.199998	0.367489
CRYBB3	0.595844	0.845316	0.804582
CRYBG3	0.496732	0.989643	0.288562
CRYGA	0.073209	0.98136	0.025682
CRYGD	0.009577	0.741989	0.077164
CRYGS	0.557597	0.221467	0.892482
CRYL1	0.234925	0.012347	0.002514
CRYM	0.000469	0.009203	3.2e-05
CRYZ	0.021699	0.000698	3e-05
CRYZL1	0.006465	0.905066	0.016372
CRYZL2P	0.306535	0.084821	0.016982
CS	0.002495	0.053385	0.001554
CSAD	0.013535	0.006994	0.051102
CSAG1	0.498288	0.104825	0.131143
CSAG3	0.477036	0.24517	0.780386
CSAG4	0.415076	0.314615	0.803389
CSDC2	0.0016	0.022498	0.001016
CSDE1	0.004759	0.007043	0.000783
CSE1L	0.452655	0.017216	0.004872
CSE1L.AS1	0.943909	0.226713	0.940133
CSF1	0.70801	0.780513	0.159103
CSF1R	0.003938	0.000788	3.4e-05
CSF2RA	0.006484	0.059768	4.9e-05
CSF3R	0.974974	0.286486	0.797141
CSGALNACT1	0.005307	0.036023	0.000677
CSGALNACT2	0.021529	0.000768	0.002853
CSH1	0.786003	0.773624	0.945959
CSK	0.441121	0.885618	0.440806
CSKMT	0.238723	0.057195	0.012004
CSMD1	0.285276	0.399949	0.08706
CSMD3	0.040602	0.430099	0.420059
CSNK1A1	0.615982	0.126272	0.837045
CSNK1A1L	0.188559	0.823143	0.422642
CSNK1A1P1	0.736332	0.697436	0.93694
CSNK1D	0.384071	0.206187	0.170434
CSNK1G1	0.710823	0.526522	0.707908
CSNK1G2	0.733184	0.201682	0.240013
CSNK1G3	0.75332	0.625828	0.997912
CSNK2A1	0.117485	0.041733	0.009294
CSNK2A2	0.368687	0.194638	0.738518
CSNK2B	0.453045	0.236746	0.007561
CSPG4	7.8e-05	0.000354	1.9e-05
CSPG4P1Y	0.936387	0.791018	0.976224
CSPG5	0.006167	0.177914	0.003337
CSPP1	0.725506	0.435286	0.478417
CSRNP1	0.579978	0.354971	0.340667
CSRNP2	0.06986	0.1031	0.048994
CSRNP3	0.309857	0.893115	0.127449
CSRP1	0.559404	0.148294	0.299306
CSRP2	0.920301	0.706671	0.258763
CST3	0.113223	0.624859	0.012186
CST5	0.032154	0.35906	0.001423
CSTB	0.000774	0.003345	3e-05
CSTF1	0.429697	0.057909	0.346538
CSTF2	0.000196	0.003823	2.2e-05
CSTF2T	0.129697	0.432365	0.065621
CSTF3	0.044955	0.103829	0.240174
CTAGE1	0.601808	0.586009	0.613161
CTAGE11P	0.507474	0.526129	0.947886
CTAGE7P	0.067905	0.328727	0.114684
CTAGE9	0.775392	0.93959	0.880727
CTBP1	0.098246	0.231092	0.040583
CTBP1.AS2	0.237296	0.595886	0.702527
CTBP2	0.002751	8.8e-05	3.9e-05
CTBS	0.132514	0.008873	0.000814
CTC1	0.058166	0.068987	0.000506
CTCF	0.103561	0.086856	0.000498
CTDNEP1	0.349463	0.086752	0.295129
CTDP1	0.047883	0.613001	0.252752
CTDSP1	0.057996	0.003017	2e-04
CTDSP2	0.878252	0.383318	0.781934
CTDSPL	0.52186	0.128758	0.456943
CTDSPL2	0.756267	0.76255	0.532773
CTF1	0.347892	0.428196	0.39071
CTGF	0.001589	0.002167	3e-05
CTH	0.38823	0.308362	0.009284
CTHRC1	0.178672	0.213884	0.095048
CTIF	2.3e-05	0.003895	1.9e-05
CTNNA1	0.196261	0.288256	0.026524
CTNNA2	0.15492	0.717003	0.599864
CTNNA3	0.130559	0.363413	0.118072
CTNNAL1	0.044212	0.087726	6.4e-05
CTNNB1	0.709827	0.526318	0.002087
CTNNBIP1	0.945153	0.709323	0.111666
CTNNBL1	0.822186	0.797969	0.953755
CTNND2	0.014167	0.39369	0.002623
CTNS	0.671139	0.204379	0.04635
CTPS1	0.004443	0.003823	0.000271
CTPS2	0.526811	0.802835	0.092157
CTR9	0.029242	0.362252	0.003516
CTRB1	0.339921	0.374285	0.476826
CTRB2	0.939037	0.960338	0.47299
CTRC	0.508925	0.499413	0.358922
CTRL	0.055287	0.116701	0.018098
CTSA	0.006399	0.05528	0.012652
CTSB	0.774337	0.738659	0.913399
CTSC	0.000404	0.019047	3.8e-05
CTSD	0.554549	0.153572	0.624249
CTSF	0.705853	0.717016	0.262613
CTSH	7.7e-05	0.000749	2.3e-05
CTSK	0.017925	0.013799	0.000356
CTSL	0.742135	0.581286	0.857491
CTSO	8.8e-05	0.001201	3.1e-05
CTSS	0.383028	0.508442	0.310366
CTSV	0.587007	0.472278	0.498857
CTSZ	0.005163	0.268423	0.066945
CTTN	0.534356	0.781773	0.256958
CTTNBP2	0.022708	0.103491	0.00031
CTTNBP2NL	0.281665	0.04927	0.508895
CTU1	0.909606	0.167599	0.596004
CTU2	0.70582	0.601549	0.634289
CTXN1	0.000851	0.007085	3.8e-05
CTXN2	0.476275	0.359392	0.928106
CTXN3	0.252915	0.200645	0.368574
CTXND1	0.384016	0.64178	0.376978
CUEDC1	0.42447	0.929221	0.14096
CUEDC2	0.514398	0.497684	0.294083
CUL1	0.073855	0.037536	0.022595
CUL2	0.638887	0.848874	0.092521
CUL3	0.023706	0.162274	0.003625
CUL4A	0.216658	0.571998	0.184661
CUL4B	0.905899	0.882451	0.813601
CUL5	0.001833	0.00383	6.8e-05
CUL7	0.286921	0.872241	0.700284
CUL9	0.538816	0.264246	0.421686
CUTA	0.882371	0.052971	0.092669
CUTC	0.267383	0.159293	0.554538
CUX1	0.020947	0.056947	0.000121
CUX2	0.020889	0.167746	0.00022
CWC15	0.272826	0.479979	0.398212
CWC22	0.000108	0.000981	2.8e-05
CWC25	0.004914	0.02937	0.000903
CWC27	0.45759	0.619906	0.294074
CWF19L1	0.754847	0.172656	0.137965
CWF19L2	0.666611	0.243385	0.403874
CX3CL1	0.036534	0.000217	0.000417
CX3CR1	0.000338	0.001528	2.5e-05
CXADR	5.8e-05	0.002476	4.2e-05
CXADRP2	0.005473	0.006531	0.000185
CXADRP3	6.3e-05	0.007304	4.8e-05
CXCL12	0.531793	0.693651	0.561281
CXCL14	0.017352	0.07662	0.000641
CXCL16	0.011948	0.005255	0.000132
CXCL2	0.495753	0.037779	0.045978
CXCL3	0.292386	0.228837	0.091295
CXCL5	0.688079	0.295257	0.473833
CXCL6	0.189242	0.385793	0.776002
CXCR3	0.611244	0.649918	0.57914
CXCR4	5.4e-05	8.7e-05	2.1e-05
CXXC1	0.930638	0.945348	0.573713
CXXC4	0.010972	0.002961	2.9e-05
CXXC5	0.395902	0.798529	0.520874
CXorf36	0.00541	0.603946	0.002452
CXorf38	0.065586	0.191966	0.220281
CXorf56	0.968463	0.857456	0.810506
CXorf57	2.2e-05	3.5e-05	1.1e-05
CXorf67	0.123535	0.165459	0.231775
CYB561	0.033678	0.042824	0.000184
CYB561A3	0.227779	0.45337	0.461824
CYB561D1	0.331458	0.474653	0.293226
CYB561D2	0.860831	0.562982	0.523453
CYB5A	0.879514	0.992112	0.169303
CYB5B	0.536918	0.663822	0.246002
CYB5D1	0.816799	0.414517	0.708896
CYB5D2	0.002656	0.003444	3.1e-05
CYB5R1	0.000401	0.004083	2.1e-05
CYB5R2	0.969229	0.898595	0.738854
CYB5R3	0.176367	0.034792	0.001614
CYB5R4	0.000141	7e-05	2.9e-05
CYBA	0.955398	0.850127	0.650864
CYBB	0.000159	0.000666	2.5e-05
CYBRD1	0.022162	0.476527	0.003693
CYC1	0.034329	0.148051	0.077179
CYCS	0.019413	0.005884	0.016937
CYCSP52	0.56447	0.100292	0.147002
CYFIP1	0.437106	0.438595	0.029487
CYFIP2	0.626825	0.024537	0.042802
CYGB	0.751616	0.164544	0.144142
CYHR1	0.001774	0.008738	4.3e-05
CYLD	0.208999	0.489094	0.857457
CYP11A1	0.949907	0.731679	0.470673
CYP11B1	0.448565	0.669283	0.512774
CYP17A1	0.092331	0.469431	0.16859
CYP1A2	0.149127	0.091791	0.129225
CYP1B1	0.072931	0.347332	0.168637
CYP1B1.AS1	0.1273	0.294406	0.001162
CYP20A1	0.28009	0.167	0.391651
CYP26A1	0.001329	0.005227	4e-05
CYP26B1	0.165499	0.101913	0.001487
CYP26C1	0.862555	0.37768	0.379231
CYP27A1	0.265693	0.719667	0.595031
CYP2A13	0.561064	0.309264	0.10518
CYP2B6	0.770211	0.899313	0.600449
CYP2E1	0.005059	0.023139	0.000478
CYP2J2	0.08394	0.260407	0.009882
CYP2R1	0.161938	0.026386	0.001259
CYP2U1	0.665864	0.962553	0.041695
CYP2W1	0.444302	0.501098	0.303543
CYP3A43	0.181837	0.705405	0.308064
CYP3A5	0.396051	0.9346	0.589717
CYP46A1	0.006605	0.016334	3.1e-05
CYP4A11	0.241099	0.224935	0.347001
CYP4B1	0.014741	0.301755	0.016826
CYP4F35P	0.116158	0.600454	0.771341
CYP4F8	0.317688	0.247301	0.695846
CYP4V2	0.000202	0.000538	2.2e-05
CYP4X1	0.038848	0.261674	0.06323
CYP4Z1	0.009022	0.000231	6e-05
CYP51A1	0.759129	0.217648	0.021879
CYP7B1	0.008336	0.127482	0.001353
CYR61	0.120006	0.245368	0.127212
CYS1	0.00029	0.000477	3.3e-05
CYSLTR1	0.993466	0.124068	0.113121
CYSRT1	0.308615	0.101179	0.01405
CYSTM1	0.222419	0.632009	0.019708
CYTH1	0.229129	0.781705	0.124589
CYTH2	0.641479	0.085921	0.037189
CYTH3	0.385641	0.491275	0.050815
CYTH4	0.002097	0.013778	3.8e-05
CYTL1	0.294961	0.039577	0.00165
CYTOR	0.003147	0.004404	3.7e-05
CYYR1	0.453182	0.945577	0.722958
CZ1P.ASNS	0.290857	0.962313	0.900115
D2HGDH	0.873809	0.235721	0.622315
DAAM1	0.0607	0.007539	0.002517
DAAM2	0.934856	0.657257	0.421122
DAB1	0.349	0.414184	0.186816
DAB2	0.634663	0.315567	0.223139
DAB2IP	0.005293	0.005401	0.000359
DACH1	0.561578	0.986611	0.471915
DACH2	0.012392	0.031466	4.6e-05
DACT1	3.5e-05	8.3e-05	1.2e-05
DACT2	5.6e-05	0.000366	3.1e-05
DACT3	0.040802	0.008008	8.9e-05
DAD1	0.099727	0.063851	0.000101
DAG1	0.932435	0.062944	0.314647
DAGLA	0.22949	0.666275	0.115478
DAGLB	0.324198	0.06192	0.267822
DALRD3	0.703778	0.449932	0.847812
DANCR	0.220068	0.09828	0.077447
DAP	0.000167	0.003857	5e-05
DAP3	0.020749	0.334127	0.028803
DAPK1	0.023585	0.192611	0.010923
DAPK1.IT1	0.626955	0.260501	0.090346
DAPK2	0.352671	0.101757	0.045803
DAPK3	0.005562	0.061133	0.001459
DAPL1	3.4e-05	0.002168	2e-05
DARS	0.047754	0.04208	0.00012
DARS2	0.64879	0.921564	0.322589
DAXX	0.018076	0.277137	0.003066
DAZAP1	0.010757	0.016158	7.1e-05
DAZAP2	0.321635	0.85298	0.599737
DBET	0.722574	0.113625	0.188388
DBF4	0.973096	0.633286	0.609282
DBF4B	0.425577	0.424168	0.463112
DBI	0.000162	0.000401	2.9e-05
